"filename", "language", "Docker", "Python", "JavaScript", "JSON with Comments", "TypeScript JSX", "JSON", "HTML", "CSS", "comment", "blank", "total"
"l:\Office\CLPM\clpm-app-latest\frontend\Dockerfile", "Docker", -13, 0, 0, 0, 0, 0, 0, 0, -1, -2, -16
"l:\Office\CLPM\clpm-app-latest\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, -12, 0, 0, -1, -13
"l:\Office\CLPM\clpm-app-latest\frontend\package.json", "JSON", 0, 0, 0, 0, 0, -45, 0, 0, 0, -1, -46
"l:\Office\CLPM\clpm-app-latest\frontend\postcss.config.js", "JavaScript", 0, 0, -6, 0, 0, 0, 0, 0, 0, -1, -7
"l:\Office\CLPM\clpm-app-latest\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, -103, 0, 0, 0, -6, -11, -120
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\AppShell.tsx", "TypeScript JSX", 0, 0, 0, 0, -251, 0, 0, 0, -2, -17, -270
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\LoopConfiguration.tsx", "TypeScript JSX", 0, 0, 0, 0, -679, 0, 0, 0, -10, -64, -753
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\OPCUAConnectionManager.tsx", "TypeScript JSX", 0, 0, 0, 0, -1303, 0, 0, 0, -17, -89, -1409
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\OPCUATagBrowser.tsx", "TypeScript JSX", 0, 0, 0, 0, -500, 0, 0, 0, -14, -41, -555
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, -23, 0, 0, 0, 0, -4, -27
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, -37, 0, 0, 0, 0, -4, -41
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, -49, 0, 0, 0, 0, -6, -55
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, -47, 0, 0, 0, 0, -6, -53
"l:\Office\CLPM\clpm-app-latest\frontend\src\contexts\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, -120, 0, 0, 0, -7, -20, -147
"l:\Office\CLPM\clpm-app-latest\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -56, 0, -4, -60
"l:\Office\CLPM\clpm-app-latest\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, -8, 0, 0, 0, 0, -2, -10
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\APCAttainment.tsx", "TypeScript JSX", 0, 0, 0, 0, -302, 0, 0, 0, -6, -22, -330
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, -746, 0, 0, 0, -16, -40, -802
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, -138, 0, 0, 0, 0, -8, -146
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\LoopConfig.tsx", "TypeScript JSX", 0, 0, 0, 0, -377, 0, 0, 0, -7, -36, -420
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\LoopConfiguration.tsx", "TypeScript JSX", 0, 0, 0, 0, -759, 0, 0, 0, -13, -36, -808
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\LoopDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, -885, 0, 0, 0, -24, -47, -956
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\LoopsList.tsx", "TypeScript JSX", 0, 0, 0, 0, -742, 0, 0, 0, -7, -25, -774
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\OPCConfig.tsx", "TypeScript JSX", 0, 0, 0, 0, -496, 0, 0, 0, -9, -38, -543
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\OscillationClusters.tsx", "TypeScript JSX", 0, 0, 0, 0, -336, 0, 0, 0, -7, -20, -363
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\Reports.tsx", "TypeScript JSX", 0, 0, 0, 0, -219, 0, 0, 0, -4, -7, -230
"l:\Office\CLPM\clpm-app-latest\frontend\tailwind.config.js", "JavaScript", 0, 0, -51, 0, 0, 0, 0, 0, -1, -1, -53
"l:\Office\CLPM\clpm-app-latest\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, -12, 0, 0, 0, 0, 0, -1, -13
"l:\Office\CLPM\clpm-app-latest\python-services\diagnostics_service\Dockerfile", "Docker", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"l:\Office\CLPM\clpm-app-latest\python-services\diagnostics_service\src\diagnostics_service\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"l:\Office\CLPM\clpm-app-latest\python-services\diagnostics_service\src\diagnostics_service\app.py", "Python", 0, 46, 0, 0, 0, 0, 0, 0, 0, 10, 56
"l:\Office\CLPM\clpm-app-latest\python-services\diagnostics_service\src\diagnostics_service\oscillation.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"l:\Office\CLPM\clpm-app-latest\python-services\diagnostics_service\src\diagnostics_service\stiction.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"Total", "-", -6, 91, -57, -12, -8120, -45, -12, -56, -150, -537, -8904
