"filename", "language", "Docker", "TypeScript", "JavaScript", "JSON with Comments", "TypeScript JSX", "JSON", "CSS", "HTML", "comment", "blank", "total"
"l:\Office\CLPM\clpm-app-latest\frontend\Dockerfile", "Docker", 13, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"l:\Office\CLPM\clpm-app-latest\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"l:\Office\CLPM\clpm-app-latest\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 45, 0, 0, 0, 1, 46
"l:\Office\CLPM\clpm-app-latest\frontend\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"l:\Office\CLPM\clpm-app-latest\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 103, 0, 0, 0, 6, 11, 120
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\AppShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 251, 0, 0, 0, 2, 17, 270
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\LoopConfiguration.tsx", "TypeScript JSX", 0, 0, 0, 0, 861, 0, 0, 0, 16, 80, 957
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\opcua\HealthDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 297, 0, 0, 0, 8, 20, 325
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\opcua\ServerForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 411, 0, 0, 0, 5, 43, 459
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\opcua\ServerManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 277, 0, 0, 0, 10, 16, 303
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\opcua\TagBrowser.tsx", "TypeScript JSX", 0, 0, 0, 0, 343, 0, 0, 0, 9, 31, 383
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 4, 41
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 0, 6, 55
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 85, 0, 0, 0, 4, 11, 100
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 5, 44
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 0, 6, 67
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 97, 0, 0, 0, 0, 16, 113
"l:\Office\CLPM\clpm-app-latest\frontend\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 0, 6, 53
"l:\Office\CLPM\clpm-app-latest\frontend\src\contexts\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 131, 0, 0, 0, 8, 19, 158
"l:\Office\CLPM\clpm-app-latest\frontend\src\hooks\useOPCUA.ts", "TypeScript", 0, 350, 0, 0, 0, 0, 0, 0, 13, 44, 407
"l:\Office\CLPM\clpm-app-latest\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 56, 0, 0, 4, 60
"l:\Office\CLPM\clpm-app-latest\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\APCAttainment.tsx", "TypeScript JSX", 0, 0, 0, 0, 302, 0, 0, 0, 6, 22, 330
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 746, 0, 0, 0, 16, 40, 802
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 138, 0, 0, 0, 0, 8, 146
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\LoopConfig.tsx", "TypeScript JSX", 0, 0, 0, 0, 377, 0, 0, 0, 7, 36, 420
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\LoopConfiguration.tsx", "TypeScript JSX", 0, 0, 0, 0, 767, 0, 0, 0, 13, 36, 816
