"filename", "language", "Docker", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"l:\Office\CLPM\clpm-app-latest\backend\aggregation\Dockerfile", "Docker", 7, 0, 0, 0, 0, 0, 1, 8
"l:\Office\CLPM\clpm-app-latest\backend\aggregation\package.json", "JSON", 0, 0, 25, 0, 0, 0, 1, 26
"l:\Office\CLPM\clpm-app-latest\backend\aggregation\src\index.js", "JavaScript", 0, 302, 0, 0, 0, 18, 58, 378
"l:\Office\CLPM\clpm-app-latest\backend\aggregation\src\influxClient.js", "JavaScript", 0, 191, 0, 0, 0, 0, 27, 218
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\Dockerfile", "Docker", 15, 0, 0, 0, 0, 0, 2, 17
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\package.json", "JSON", 0, 0, 81, 0, 0, 0, 1, 82
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\app.module.ts", "TypeScript", 0, 0, 0, 0, 51, 3, 2, 56
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\auth\auth.module.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 2, 11
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\auth\jwt.guard.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 2, 6
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\auth\jwt.strategy.ts", "TypeScript", 0, 0, 0, 0, 35, 1, 4, 40
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\auth\roles.decorator.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 1, 5
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\auth\roles.guard.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 3, 20
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\data\data.controller.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 12, 57
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\data\data.module.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 2, 13
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\data\data.service.ts", "TypeScript", 0, 0, 0, 0, 119, 13, 25, 157
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\diagnostics\diagnostics.controller.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 5, 42
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\diagnostics\diagnostics.module.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 2, 13
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\diagnostics\diagnostics.service.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 3, 15
